T,magnetization,mag_err,susceptibility,sus_err,stiffness,stiff_err,specific_heat,sheat_err
0.1,0.9761465785196028,3.3306690738754696e-16,0.01210058045146595,0.0,0.48624366028103533,1.1102230246251565e-16,0.3860459910669803,5.551115123125783e-17
0.2,0.9522288281808627,2.220446049250313e-16,0.05429454681589354,1.3877787807814457e-17,0.475275909661499,0.0,0.47089357756668365,0.0
0.3,0.9279021931970948,3.3306690738754696e-16,0.12503644182663254,0.0,0.46002581533984044,1.6653345369377348e-16,0.4801708174128286,5.551115123125783e-17
0.4,0.9007044945079155,2.220446049250313e-16,0.19682561708618934,0.0,0.44384125678835695,1.6653345369377348e-16,0.4479919864300361,1.6653345369377348e-16
0.5,0.8749313850977127,2.220446049250313e-16,0.2153280202302229,5.551115123125783e-17,0.4264599999779209,1.6653345369377348e-16,0.5440571102323826,1.1102230246251565e-16
0.6,0.8336652712327374,1.1102230246251565e-16,0.3688654669808052,5.551115123125783e-17,0.3950891979173284,0.0,0.6110529271490691,1.1102230246251565e-16
0.7,0.7962713157901808,0.0,0.44330503420082434,5.551115123125783e-17,0.3721951167756965,5.551115123125783e-17,0.6036457025437556,2.220446049250313e-16
0.7333333333333333,0.7939281353736845,1.1102230246251565e-16,0.3847988063202234,5.551115123125783e-17,0.3730665726079188,1.1102230246251565e-16,0.8965621081793097,1.1102230246251565e-16
0.7666666666666666,0.7764709590120665,0.0,0.5874257928125015,0.0,0.3546688825802826,5.551115123125783e-17,0.8340063128095079,0.0
0.8,0.7747810471845564,1.1102230246251565e-16,0.5012921834758148,1.1102230246251565e-16,0.33718828594903855,0.0,0.8411929607413697,1.1102230246251565e-16
0.8333333333333334,0.7542356931345918,0.0,0.5573900055168923,1.1102230246251565e-16,0.3376299012011477,5.551115123125783e-17,0.887384769859555,1.1102230246251565e-16
0.8666666666666667,0.7370248369244939,0.0,0.5721367638640509,2.220446049250313e-16,0.31546179836575905,5.551115123125783e-17,0.8796775427565554,1.1102230246251565e-16
0.9,0.7240445062450894,0.0,0.7856377606126229,0.0,0.2739608061068955,5.551115123125783e-17,0.8212588047118502,2.220446049250313e-16
0.9333333333333333,0.7007450510603601,0.0,0.7900553030243299,0.0,0.253193821141153,5.551115123125783e-17,0.9964980607885037,1.1102230246251565e-16
0.9666666666666668,0.6700570521605315,2.220446049250313e-16,1.664700226344518,2.220446049250313e-16,0.2095466852941528,8.326672684688674e-17,1.2732403997227955,0.0
1.0,0.6478638265482942,1.1102230246251565e-16,1.2949057146250476,2.220446049250313e-16,0.18706870781691853,5.551115123125783e-17,0.9374430836644174,0.0
1.0333333333333334,0.6225105754001026,1.1102230246251565e-16,1.793731365067123,2.220446049250313e-16,0.13300962412514264,0.0,1.129821449425344,2.220446049250313e-16
1.0666666666666669,0.5750048851401661,1.1102230246251565e-16,2.818842758244828,4.440892098500626e-16,0.08056601690729336,0.0,1.6042241221285138,0.0
1.1,0.5314269540532512,0.0,3.2341686459030874,4.440892098500626e-16,-0.02420512520994285,3.469446951953614e-18,1.1721686000744413,4.440892098500626e-16
1.28,0.2955827295348579,0.0,3.2868166841751,4.440892098500626e-16,-0.2521017826511125,0.0,0.884849650597592,2.220446049250313e-16
1.46,0.20351951762250495,5.551115123125783e-17,1.8358201850220344,2.220446049250313e-16,-0.14782522042139035,0.0,0.6557326261876624,1.1102230246251565e-16
1.6400000000000001,0.1568679543385251,2.7755575615628914e-17,0.9415921257132454,1.1102230246251565e-16,-0.16537399154294216,0.0,0.46366451040451984,1.6653345369377348e-16
1.82,0.12173327918771949,0.0,0.5901668556494934,0.0,-0.18976808016810717,2.7755575615628914e-17,0.37292829943250594,0.0
2.0,0.11116833955512641,0.0,0.45247846293595373,0.0,-0.15144162356707358,2.7755575615628914e-17,0.3002898116365561,1.1102230246251565e-16
