T,magnetization,mag_err,susceptibility,sus_err,stiffness,stiff_err,specific_heat,sheat_err
0.1,0.9745616886551752,0.0,0.052056755198661674,0.0,0.48686418430603795,1.6653345369377348e-16,0.6662881582014222,2.220446049250313e-16
0.2,0.9458842977411512,3.3306690738754696e-16,0.1379375027838035,2.7755575615628914e-17,0.47433772969063026,5.551115123125783e-17,0.5031395131074858,1.1102230246251565e-16
0.3,0.9231891816679663,3.3306690738754696e-16,0.11407945125990727,1.3877787807814457e-17,0.45773943961646724,0.0,0.4909105706424805,1.1102230246251565e-16
0.4,0.8923321492536376,3.3306690738754696e-16,0.20400231613364014,0.0,0.4446694723806702,0.0,0.4624185792423121,1.6653345369377348e-16
0.5,0.8684977736863086,0.0,0.29720125389607466,0.0,0.42621119384284634,1.6653345369377348e-16,0.5847550950157304,1.1102230246251565e-16
0.6,0.8358426762908663,0.0,0.2903522952599102,0.0,0.395108054877412,5.551115123125783e-17,0.6314244037916678,0.0
0.7,0.8028844868870282,0.0,0.40335587582386867,1.1102230246251565e-16,0.3784462988998725,0.0,0.6296521217021455,0.0
0.7333333333333333,0.7876640387382765,1.1102230246251565e-16,0.4530860154965751,5.551115123125783e-17,0.3711606295720323,1.1102230246251565e-16,0.6400192786260461,2.220446049250313e-16
0.7666666666666666,0.7757980993548952,0.0,0.5479585001728093,0.0,0.35784851398024586,5.551115123125783e-17,0.7829230670372288,1.1102230246251565e-16
0.8,0.7656723719256169,0.0,0.682646185460969,2.220446049250313e-16,0.34156925781461794,0.0,0.7316076898774726,1.1102230246251565e-16
0.8333333333333334,0.7452875564250254,0.0,0.7744854964823557,2.220446049250313e-16,0.3126932692636555,5.551115123125783e-17,0.9041555850182205,1.1102230246251565e-16
0.8666666666666667,0.7326937549183657,2.220446049250313e-16,0.8031320107024461,1.1102230246251565e-16,0.30102425492651863,1.1102230246251565e-16,0.9778643020336277,3.3306690738754696e-16
0.9,0.7201309705703696,1.1102230246251565e-16,0.7688124596308835,2.220446049250313e-16,0.28814736048188416,5.551115123125783e-17,0.9591237398924342,1.1102230246251565e-16
0.9333333333333333,0.6977505838005379,0.0,0.9479786912662324,2.220446049250313e-16,0.26172277318366516,5.551115123125783e-17,0.8603208304304135,3.3306690738754696e-16
0.9666666666666668,0.6793811227898985,0.0,1.075941426075471,2.220446049250313e-16,0.24111805391909463,0.0,1.060576566080893,2.220446049250313e-16
1.0,0.6428965158089069,0.0,1.6525593977656512,2.220446049250313e-16,0.1971128423691721,0.0,1.213836784066334,0.0
1.0333333333333334,0.6069106506261669,1.1102230246251565e-16,1.8416193517323358,0.0,0.1067573631059843,1.3877787807814457e-17,1.151894727518717,2.220446049250313e-16
1.0666666666666669,0.5669486955841783,1.1102230246251565e-16,2.9662194416507477,0.0,0.03533335726172785,6.938893903907228e-18,1.4452520840226697,0.0
1.1,0.5536311214552037,2.220446049250313e-16,2.876491346486289,4.440892098500626e-16,0.07491791607547692,0.0,1.0804766581776666,2.220446049250313e-16
1.28,0.3150716019185633,5.551115123125783e-17,3.1819547455320714,4.440892098500626e-16,-0.226311368246961,2.7755575615628914e-17,1.127223164873615,2.220446049250313e-16
1.46,0.20254039708829324,0.0,1.8528121012543757,2.220446049250313e-16,-0.21031780686406573,2.7755575615628914e-17,0.7128968575589942,0.0
1.6400000000000001,0.15797027390016904,2.7755575615628914e-17,1.0051847075255342,2.220446049250313e-16,-0.17212732423920676,0.0,0.5494328040185573,1.1102230246251565e-16
1.82,0.13259099937408117,2.7755575615628914e-17,0.6722832576665931,0.0,-0.1299741360707849,0.0,0.4175394695735825,1.1102230246251565e-16
2.0,0.11513657495282559,4.163336342344337e-17,0.4495852743546177,5.551115123125783e-17,-0.17705486558552846,0.0,0.32257516958417426,0.0
